tiempo(s),Numero_joints,G-parcial(N)
0.005,7.000,0.000
0.016,7.000,0.000
0.026,7.000,0.000
0.037,7.000,0.000
0.047,7.000,0.000
0.057,7.000,0.000
0.067,7.000,0.000
0.078,7.000,0.000
0.088,7.000,0.000
0.098,7.000,0.000
0.108,7.000,0.000
0.119,7.000,0.000
0.129,7.000,0.000
0.139,7.000,0.000
0.150,7.000,0.000
0.160,7.000,0.000
0.171,7.000,0.000
0.181,7.000,0.000
0.192,7.000,0.000
0.202,7.000,0.000
0.213,7.000,0.000
0.223,7.000,0.000
0.233,7.000,0.000
0.244,7.000,0.000
0.254,7.000,0.000
0.264,7.000,0.000
0.274,7.000,0.000
0.285,7.000,0.000
0.295,7.000,0.000
0.305,7.000,0.000
0.316,7.000,0.000
0.326,7.000,0.000
0.336,7.000,0.000
0.347,7.000,0.000
0.357,7.000,0.000
0.367,7.000,0.000
0.378,7.000,0.000
0.388,7.000,0.000
0.398,7.000,0.000
0.408,7.000,0.000
0.419,7.000,0.000
0.429,7.000,0.000
0.440,7.000,0.000
0.450,7.000,0.000
0.461,7.000,0.000
0.471,7.000,0.000
0.481,7.000,0.000
0.492,7.000,0.000
0.502,7.000,0.000
0.513,7.000,0.000
0.523,7.000,0.000
0.533,7.000,0.000
0.544,7.000,0.000
0.554,7.000,0.000
0.565,7.000,0.000
0.575,7.000,0.000
0.586,7.000,0.000
0.596,7.000,0.000
0.607,7.000,0.000
0.617,7.000,0.000
0.628,7.000,0.000
0.638,7.000,0.000
0.649,7.000,0.000
0.659,7.000,0.000
0.670,7.000,0.000
0.680,7.000,0.000
0.691,7.000,0.000
0.701,7.000,0.000
0.712,7.000,0.000
0.723,7.000,0.000
0.733,7.000,0.000
0.743,7.000,0.000
0.754,7.000,0.000
0.764,7.000,0.000
0.775,7.000,0.000
0.785,7.000,0.000
0.796,7.000,0.000
0.806,7.000,0.000
0.817,7.000,0.000
0.827,7.000,0.000
0.838,7.000,0.000
0.848,7.000,0.000
0.859,7.000,0.000
0.870,7.000,0.000
0.880,7.000,0.000
0.891,7.000,0.000
0.901,7.000,0.000
0.912,7.000,0.000
0.922,7.000,0.000
0.933,7.000,0.000
0.944,7.000,0.000
0.954,7.000,0.000
0.965,7.000,0.000
0.976,7.000,0.000
0.987,7.000,0.000
0.997,7.000,0.000
1.008,7.000,0.000
1.019,7.000,0.000
1.029,7.000,0.000
1.040,7.000,0.000
1.051,7.000,0.000
1.061,7.000,0.000
1.072,7.000,0.000
1.083,7.000,0.000
1.093,7.000,0.000
1.104,7.000,0.000
1.115,7.000,0.000
1.125,7.000,0.000
1.136,7.000,0.000
1.146,7.000,0.000
1.157,7.000,0.000
1.167,7.000,0.000
1.178,7.000,0.000
1.188,7.000,0.000
1.199,7.000,0.000
1.209,7.000,0.000
1.220,7.000,0.000
1.230,7.000,0.000
1.241,7.000,0.000
1.251,7.000,0.000
1.262,7.000,0.000
1.272,7.000,0.000
1.283,7.000,0.000
1.293,7.000,0.000
1.304,7.000,0.000
1.314,7.000,0.000
1.325,7.000,0.000
1.336,7.000,0.000
1.346,7.000,0.000
1.357,7.000,0.000
1.367,7.000,0.000
1.378,7.000,0.000
1.388,7.000,0.000
1.399,7.000,0.000
1.409,7.000,0.000
1.420,7.000,0.000
1.430,7.000,0.000
1.441,7.000,0.000
1.452,7.000,0.000
1.462,7.000,0.000
1.473,7.000,0.000
1.484,7.000,0.000
1.495,7.000,0.000
1.506,7.000,0.000
1.516,7.000,0.000
1.527,7.000,0.000
1.538,7.000,0.000
1.548,7.000,0.000
1.559,7.000,0.000
1.570,7.000,0.000
1.581,7.000,0.000
1.591,7.000,0.000
1.602,7.000,0.000
1.612,7.000,0.000
1.623,7.000,0.000
1.634,7.000,0.000
1.645,7.000,0.000
1.655,7.000,0.000
